,goods,experience
531,beauty,1-3
532,beauty,0-1
533,clothes,1-3
534,clothes,0-1
535,electronics,3-5
536,electronics,0-1
537,clothes,0-1
538,outdoor,0-1
539,clothes,1-3
540,electronics,0-1
541,electronics,0-1
542,electronics,0-1
543,beauty,1-3
544,electronics,3-5
545,beauty,1-3
546,clothes,1-3
547,electronics,1-3
548,electronics,1-3
549,beauty,0-1
550,electronics,3-5
551,outdoor,1-3
552,outdoor,5-
553,clothes,0-1
554,electronics,0-1
555,beauty,1-3
556,electronics,0-1
557,outdoor,1-3
558,beauty,1-3
559,electronics,0-1
560,clothes,1-3
561,clothes,3-5
562,clothes,5-
563,clothes,0-1
564,electronics,1-3
565,electronics,1-3
566,clothes,3-5
567,beauty,0-1
568,electronics,1-3
569,clothes,5-
570,clothes,5-
571,clothes,0-1
572,beauty,5-
573,electronics,3-5
574,clothes,1-3
575,outdoor,0-1
576,outdoor,1-3
577,electronics,5-
578,electronics,0-1
579,pets,5-
580,clothes,1-3
581,outdoor,1-3
582,pets,0-1
583,beauty,1-3
584,electronics,0-1
585,clothes,1-3
586,electronics,3-5
587,clothes,0-1
588,electronics,3-5
589,electronics,3-5
590,electronics,0-1
591,outdoor,1-3
592,beauty,1-3
593,outdoor,0-1
594,electronics,3-5
595,clothes,1-3
596,electronics,3-5
597,outdoor,0-1
598,outdoor,0-1
599,beauty,3-5
600,electronics,0-1
601,clothes,1-3
602,outdoor,3-5
603,clothes,1-3
604,beauty,0-1
605,clothes,1-3
606,clothes,1-3
607,outdoor,1-3
608,clothes,5-
609,clothes,5-
610,beauty,5-
611,clothes,1-3
612,outdoor,0-1
613,clothes,0-1
614,beauty,1-3
615,clothes,0-1
616,beauty,1-3
617,beauty,0-1
618,clothes,1-3
619,clothes,1-3
620,clothes,5-
621,electronics,5-
622,beauty,1-3
623,outdoor,3-5
624,beauty,1-3
625,beauty,0-1
626,clothes,0-1
627,clothes,0-1
628,outdoor,1-3
629,clothes,0-1
630,clothes,3-5
631,clothes,5-
632,clothes,1-3
633,clothes,1-3
634,electronics,5-
635,electronics,3-5
636,clothes,0-1
637,beauty,1-3
638,clothes,5-
639,beauty,0-1
640,outdoor,5-
641,clothes,1-3
642,electronics,3-5
643,clothes,3-5
644,clothes,0-1
645,outdoor,3-5
646,clothes,0-1
647,clothes,0-1
648,electronics,0-1
649,clothes,1-3
650,electronics,3-5
651,clothes,5-
652,electronics,0-1
653,beauty,3-5
654,clothes,1-3
655,beauty,1-3
656,clothes,1-3
657,outdoor,0-1
658,clothes,1-3
659,electronics,5-
660,electronics,5-
661,electronics,0-1
662,electronics,5-
663,outdoor,5-
664,clothes,1-3
665,clothes,3-5
666,electronics,0-1
667,clothes,0-1
668,pets,0-1
669,clothes,5-
670,clothes,0-1
671,electronics,3-5
672,electronics,0-1
673,outdoor,5-
674,clothes,1-3
675,electronics,0-1
676,clothes,1-3
677,clothes,5-
678,outdoor,0-1
679,clothes,1-3
680,pets,3-5
681,clothes,1-3
682,clothes,1-3
683,beauty,1-3
684,pets,1-3
685,clothes,1-3
686,outdoor,1-3
687,outdoor,1-3
688,electronics,0-1
689,beauty,1-3
690,outdoor,0-1
691,beauty,1-3
692,electronics,1-3
693,electronics,1-3
694,clothes,1-3
695,electronics,3-5
696,clothes,0-1
697,pets,0-1
698,clothes,0-1
699,electronics,1-3
700,pets,0-1
701,pets,1-3
702,clothes,5-
703,beauty,5-
704,electronics,5-
705,clothes,1-3
706,beauty,3-5
707,clothes,1-3
708,beauty,3-5
709,clothes,1-3
710,clothes,3-5
711,beauty,1-3
712,clothes,1-3
713,clothes,1-3
714,clothes,0-1
715,outdoor,1-3
716,outdoor,1-3
717,pets,0-1
718,beauty,1-3
719,electronics,5-
720,electronics,1-3
721,electronics,1-3
722,beauty,0-1
723,clothes,3-5
724,electronics,0-1
725,pets,1-3
726,outdoor,1-3
727,beauty,1-3
728,beauty,0-1
729,electronics,0-1
730,pets,0-1
731,beauty,3-5
732,clothes,5-
733,outdoor,0-1
734,clothes,0-1
735,clothes,0-1
736,outdoor,1-3
737,outdoor,3-5
738,clothes,1-3
739,pets,3-5
740,clothes,0-1
741,electronics,0-1
742,clothes,1-3
743,beauty,0-1
744,outdoor,3-5
745,clothes,1-3
746,electronics,0-1
747,clothes,0-1
748,clothes,5-
749,beauty,1-3
750,clothes,3-5
751,electronics,3-5
752,clothes,1-3
753,electronics,1-3
754,pets,0-1
755,clothes,0-1
756,clothes,0-1
757,beauty,0-1
758,beauty,0-1
759,electronics,0-1
760,clothes,0-1
761,clothes,3-5
762,electronics,0-1
763,electronics,1-3
764,beauty,0-1
765,beauty,1-3
766,beauty,5-
767,clothes,0-1
768,outdoor,5-
769,clothes,1-3
770,outdoor,1-3
771,pets,5-
772,pets,0-1
773,electronics,3-5
774,outdoor,0-1
775,clothes,3-5
776,clothes,1-3
777,outdoor,5-
778,beauty,5-
779,electronics,1-3
780,electronics,1-3
781,clothes,0-1
782,clothes,1-3
783,pets,1-3
784,clothes,5-
785,clothes,1-3
786,clothes,5-
787,pets,1-3
788,beauty,0-1
789,electronics,1-3
790,outdoor,3-5
791,clothes,1-3
792,clothes,1-3
793,beauty,5-
794,clothes,1-3
795,beauty,1-3
796,electronics,0-1
797,clothes,0-1
798,clothes,1-3
799,clothes,0-1
800,clothes,3-5
801,clothes,1-3
802,electronics,1-3
803,clothes,1-3
804,clothes,0-1
805,beauty,3-5
806,clothes,1-3
807,electronics,0-1
808,clothes,1-3
809,electronics,3-5
810,clothes,5-
811,pets,3-5
812,clothes,0-1
813,outdoor,1-3
814,clothes,0-1
815,clothes,1-3
816,electronics,1-3
817,outdoor,5-
818,beauty,1-3
819,outdoor,5-
820,clothes,3-5
821,outdoor,0-1
822,beauty,1-3
823,electronics,5-
824,outdoor,1-3
825,electronics,5-
826,clothes,5-
827,outdoor,3-5
828,electronics,1-3
829,clothes,0-1
830,clothes,1-3
831,electronics,1-3
832,clothes,0-1
833,clothes,3-5
834,clothes,1-3
835,clothes,0-1
836,clothes,0-1
837,pets,1-3
838,clothes,3-5
